strategy_a,strategy_b,mean_a,mean_b,u_statistic,z,p_raw,p_holm,significant_05
pod-delete__baseline,pod-delete__default,100.0,70.5,0.0,2.372,0.0177,0.4956,False
pod-delete__baseline,pod-delete__spread,100.0,70.5,0.0,2.372,0.0177,0.4956,False
pod-delete__baseline,pod-delete__colocate,100.0,70.5,0.0,2.372,0.0177,0.4956,False
pod-delete__default,node-memory-hog__baseline,70.5,100.0,0.0,2.372,0.0177,0.4956,False
pod-delete__default,node-memory-hog__default,70.5,100.0,0.0,2.372,0.0177,0.4956,False
pod-delete__default,node-memory-hog__spread,70.5,100.0,0.0,2.372,0.0177,0.4956,False
pod-delete__spread,node-memory-hog__baseline,70.5,100.0,0.0,2.372,0.0177,0.4956,False
pod-delete__spread,node-memory-hog__default,70.5,100.0,0.0,2.372,0.0177,0.4956,False
pod-delete__spread,node-memory-hog__spread,70.5,100.0,0.0,2.372,0.0177,0.4956,False
pod-delete__colocate,node-memory-hog__baseline,70.5,100.0,0.0,2.372,0.0177,0.4956,False
pod-delete__colocate,node-memory-hog__default,70.5,100.0,0.0,2.372,0.0177,0.4956,False
pod-delete__colocate,node-memory-hog__spread,70.5,100.0,0.0,2.372,0.0177,0.4956,False
pod-delete__default,node-memory-hog__colocate,70.5,95.75,1.5,1.897,0.0578,0.9248,False
pod-delete__spread,node-memory-hog__colocate,70.5,95.75,1.5,1.897,0.0578,0.9248,False
pod-delete__colocate,node-memory-hog__colocate,70.5,95.75,1.5,1.897,0.0578,0.9248,False
pod-delete__baseline,node-memory-hog__baseline,100.0,100.0,8.0,0.0,1.0,1.0,False
pod-delete__baseline,node-memory-hog__default,100.0,100.0,8.0,0.0,1.0,1.0,False
pod-delete__baseline,node-memory-hog__spread,100.0,100.0,8.0,0.0,1.0,1.0,False
pod-delete__baseline,node-memory-hog__colocate,100.0,95.75,6.0,0.75,0.4533,1.0,False
pod-delete__default,pod-delete__spread,70.5,70.5,8.0,0.0,1.0,1.0,False
pod-delete__default,pod-delete__colocate,70.5,70.5,8.0,0.0,1.0,1.0,False
pod-delete__spread,pod-delete__colocate,70.5,70.5,8.0,0.0,1.0,1.0,False
node-memory-hog__baseline,node-memory-hog__default,100.0,100.0,8.0,0.0,1.0,1.0,False
node-memory-hog__baseline,node-memory-hog__spread,100.0,100.0,8.0,0.0,1.0,1.0,False
node-memory-hog__baseline,node-memory-hog__colocate,100.0,95.75,6.0,0.75,0.4533,1.0,False
node-memory-hog__default,node-memory-hog__spread,100.0,100.0,8.0,0.0,1.0,1.0,False
node-memory-hog__default,node-memory-hog__colocate,100.0,95.75,6.0,0.75,0.4533,1.0,False
node-memory-hog__spread,node-memory-hog__colocate,100.0,95.75,6.0,0.75,0.4533,1.0,False
